model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,g,fold,Dataset,model_type
Ensemble,7,0.5037285630092487,0.8749997023660707,0.91,0.75,0.9999994047321413,0.8222891566265059,0.2071208135847463,0.7249228474969449,0.001000001736183452,4,FARSEEING,tabular
Rocket,7,7.832535401911405,0.8636345958712077,0.63,0.7272727272727273,0.9999964644696882,0.6751507032819826,1.272716666747784,0.8181750000568178,0.0009999977692673222,0,FARSEEING,ts
Catch22,7,19.78192136408507,0.8636339645265092,0.56,0.7272727272727273,0.999995201780291,0.632768361581921,1.7272583334662586,0.8181750000568178,0.000999996296141969,0,FARSEEING,ts
QUANT,7,4.205468020813979,0.93939368685606,0.94,0.8787878787878788,0.9999994949242411,0.9083638787070976,0.18181666669538302,0.36363333335858566,0.0010000048823583137,0,FARSEEING,ts
Ensemble,7,4.205468020813979,0.8939383837878763,0.76,0.7878787878787878,0.9999979796969647,0.7736883320281911,0.7272666667016006,0.636358333377525,0.0010000009680538036,0,FARSEEING,ts
Rocket,7,7.774880309479273,0.9186028099854605,0.65,0.8372093023255814,0.9999963176453396,0.7318217357310399,1.325570348946657,0.4883680232897283,0.0010000001938065249,1,FARSEEING,ts
Catch22,7,17.575167187861528,0.9069761627616264,0.85,0.813953488372093,0.9999988371511599,0.8315863032844165,0.4186011628168463,0.5581348837596896,0.0010000025840869984,1,FARSEEING,ts
QUANT,7,4.201460635258459,0.9534879844767432,0.91,0.9069767441860465,0.99999922476744,0.908485856905158,0.27906744186457566,0.279067441879845,0.0010000052327761718,1,FARSEEING,ts
Ensemble,7,4.201460635258459,0.9302322674273249,0.92,0.8604651162790697,0.99999941857558,0.8892371995820272,0.20930058140842314,0.4186011628197673,0.0010000043606468098,1,FARSEEING,ts
Rocket,7,7.531864263756257,0.9411762229161056,0.94,0.8823529411764706,0.9999995046557407,0.9102646868947708,0.17831342248262716,0.35662684498669345,0.0010000050359575624,2,FARSEEING,ts
Catch22,7,17.342832205473403,0.7941173993866939,0.91,0.5882352941176471,0.9999995046557407,0.7145661562622693,0.17831342248262716,1.2481939574534267,0.0009999980186396475,2,FARSEEING,ts
QUANT,7,4.120985101333669,0.9117644582102233,0.93,0.8235294117647058,0.9999995046557407,0.8735323716873533,0.17831342248262716,0.5349402674800402,0.0010000036324939795,2,FARSEEING,ts
Ensemble,7,4.120985101333669,0.933333055541666,0.93,0.8666666666666667,0.9999994444166653,0.89721706864564,0.17831342247705767,0.3566268449866933,0.0010000045372260881,2,FARSEEING,ts
Rocket,7,7.755048022610065,0.9062471175348739,0.54,0.8125,0.9999942350697478,0.6487985212569316,2.075253078673252,0.5659781123686656,0.0009999972049057398,3,FARSEEING,ts
Catch22,7,16.27408413399025,0.9062489518308632,0.76,0.8125,0.9999979036617265,0.7853736089030208,0.7546374831575432,0.5659781123686656,0.0010000014848938258,3,FARSEEING,ts
QUANT,7,3.723467156582696,0.8749994759154316,0.86,0.75,0.9999989518308632,0.8012422360248448,0.3773187415987544,0.7546374831582208,0.0010000012228537389,3,FARSEEING,ts
Ensemble,7,3.723467156582696,0.8999983332499959,0.67,0.8,0.9999966664999916,0.729251700680272,1.1319562247470258,0.5659781123686655,0.0009999997222106477,3,FARSEEING,ts
Rocket,7,7.792407902622947,0.9137900827600135,0.53,0.8275862068965517,0.9999939586234753,0.6461772923545847,2.174768542472174,0.5178020339263892,0.0009999972190721021,4,FARSEEING,ts
Catch22,7,27.84323338074457,0.8620681024634521,0.78,0.7241379310344828,0.9999982738924215,0.7510316368638239,0.6213624407234636,0.8284832542822228,0.000999999808211869,4,FARSEEING,ts
QUANT,7,3.9533643293145895,0.8965511487687382,0.85,0.7931034482758621,0.9999988492616143,0.8205666316894018,0.4142416271489757,0.621362440711667,0.0010000021096694398,4,FARSEEING,ts
Ensemble,7,3.9533643293145895,0.9464273808928542,0.76,0.8928571428571429,0.9999976189285654,0.8210890233362143,0.8284832543003554,0.3106812203558334,0.0010000030259197307,4,FARSEEING,ts
