model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold
QUANT,0,3,2.369912873389821,2.8735135135135135,0.8333333333333334,0.8108108108108109,0.9999986413440368,0.821917808219178,0.9054047260774238,0.4891038530514646,0.5706211618933754,4.089039345997808,0.5,5
ResNet,0,3,2.191064814453456,7.468108108108108,0.7586206896551724,0.5945945945945946,0.9999984149013763,0.6666666666666666,0.7972965047479854,0.5706211618933754,1.2227596326286616,4.089004582797281,0.5,5
Ensemble-All,,3,0.013253318200077047,3.9816216216216214,0.875,0.7567567567567568,0.9999990942293578,0.8115942028985508,0.8783779254930573,0.32606923536764304,0.7336557795771969,4.089033767026078,,5
Ensemble-ts,,3,0.010241857666490736,3.858108108108108,0.8235294117647058,0.7567567567567568,0.9999986413440368,0.7887323943661971,0.8783776990503969,0.4891038530514646,0.7336557795771969,4.089031000956388,,5
DummyADL,0,5,0.11179028899253875,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.444311904399089,0.5,1
DummyFall,0,5,0.0028096131071743764,0.0,4.1666666666666665e-05,1.0,0.0,8.332986125578101e-05,0.5,71996.40002999976,0.0,-0.2725527360788052,0.5,1
ExtraTrees,0,5,0.2865802660038406,-0.045454545454545456,0.9130434782608695,0.9545454545454546,0.9999992423989891,0.9333333333333333,0.9772723484722219,0.27272500001893923,0.13636250000946962,2.444396765288257,0.5,1
MiniRocket,0,5,1.3911384193406313,1.2727272727272727,0.7307692307692307,0.8636363636363636,0.9999973483964617,0.7916666666666666,0.9318168560164126,0.9545375000662873,0.4090875000284089,2.444381505597472,0.5,1
Catch22,0,5,8.834130008420233,1.0909090909090908,0.7916666666666666,0.8636363636363636,0.9999981059974726,0.8260869565217391,0.9318172348169181,0.6818125000473482,0.4090875000284089,2.4443842713172543,0.5,1
QUANT,0,5,3.202193661041243,-0.18181818181818182,0.7777777777777778,0.9545454545454546,0.9999977271969672,0.8571428571428571,0.9772715908712108,0.8181750000568178,0.13636250000946962,2.444391233848692,0.5,1
ResNet,0,5,3.427677507845507,-3.5,0.41304347826086957,0.8636363636363636,0.9999897723863522,0.5588235294117647,0.9318130680113579,3.68178750025568,0.4090875000284089,2.444353848399647,0.5,1
Ensemble-All,,5,0.011233312399963325,0.6818181818181818,0.8,0.9090909090909091,0.9999981059974726,0.851063829787234,0.9545445075441908,0.6818125000473482,0.27272500001893923,2.444388444012919,,1
Ensemble-ts,,5,0.008408972999859543,1.5454545454545454,0.76,0.8636363636363636,0.9999977271969672,0.8085106382978723,0.9318170454166654,0.8181750000568178,0.4090875000284089,2.4443828884573633,,1
DummyADL,0,5,0.04904334487332329,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.999975000208331,3.777572943162228,0.5,2
DummyFall,0,5,0.0005080961446125413,0.0,4.1666666666666665e-05,1.0,0.0,8.332986125578101e-05,0.5,71996.40002999974,0.0,-0.4212178648490626,0.5,2
ExtraTrees,0,5,0.14023967823171882,4.500294117647059,0.8928571428571429,0.7352941176470589,0.9999992646813717,0.8064516129032258,0.8676466911642153,0.2647036764889704,0.7941110294669113,3.777673111974162,0.5,2
MiniRocket,0,5,1.2483582178873487,0.9058823529411764,0.8823529411764706,0.8823529411764706,0.9999990195751624,0.8823529411764706,0.9411759803758164,0.3529382353186272,0.3529382353186272,3.7776925925925924,0.5,2
Catch22,0,5,8.906661812791222,1.9058823529411764,0.8235294117647058,0.8235294117647058,0.9999985293627435,0.8235294117647058,0.9117639705637246,0.5294073529779408,0.5294073529779408,3.777681481481481,0.5,2
QUANT,0,5,3.1210684844009458,0.7,0.8378378378378378,0.9117647058823529,0.9999985293627435,0.8732394366197183,0.9558816176225482,0.5294073529779408,0.2647036764889704,3.7776939995684744,0.5,2
ResNet,0,5,1.7391234630448609,-2.985294117647059,0.7272727272727273,0.9411764705882353,0.9999970587254869,0.8205128205128205,0.9705867646568611,1.0588147059558817,0.1764691176593136,3.7776898751047905,0.5,2
Ensemble-All,,5,0.014806873199995607,1.1705882352941175,0.8571428571428571,0.8823529411764706,0.9999987744689529,0.8695652173913043,0.9411758578227117,0.44117279414828403,0.3529382353186272,3.777691209732701,,2
Ensemble-ts,,5,0.010901444999944943,1.2,0.8823529411764706,0.8823529411764706,0.9999990195751624,0.8823529411764706,0.9411759803758164,0.3529382353186272,0.3529382353186272,3.7776925925925924,,2
DummyADL,0,5,0.05358059702100319,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,0.9999457790723546,0.5,3
DummyFall,0,5,0.0004719765503057295,0.0,4.1666666666666665e-05,1.0,0.0,8.332986125578101e-05,0.5,71996.40002999976,0.0,-0.11149884657769303,0.5,3
ExtraTrees,0,5,0.14974438423111974,-2.5555555555555554,0.6153846153846154,0.8888888888888888,0.9999953702160442,0.7272727272727273,0.9444421295524665,1.6666527778935176,0.3333305555787035,0.9999722463382127,0.5,3
MiniRocket,0,5,1.251628609189736,1.3333333333333333,0.5714285714285714,0.8888888888888888,0.9999944442592531,0.6956521739130435,0.9444416665740709,1.999983333472221,0.3333305555787035,0.9999708634783214,0.5,3
Catch22,0,5,8.903817091199919,3.0,0.4666666666666667,0.7777777777777778,0.9999925923456707,0.5833333333333334,0.8888851850617243,2.666644444629628,0.666661111157407,0.9999639250628747,0.5,3
QUANT,0,5,3.180287270231475,1.3333333333333333,0.5714285714285714,0.8888888888888888,0.9999944442592531,0.6956521739130435,0.9444416665740709,1.999983333472221,0.3333305555787035,0.9999708634783214,0.5,3
ResNet,0,5,1.8204566019694743,1.8888888888888888,0.35,0.7777777777777778,0.9999879625617151,0.4827586206896552,0.8888828701697464,4.333297222523146,0.666661111157407,0.9999570107634184,0.5,3
Ensemble-All,,5,0.00598919259991817,1.3333333333333333,0.6153846153846154,0.8888888888888888,0.9999953702160442,0.7272727272727273,0.9444421295524665,1.6666527778935176,0.3333305555787035,0.9999722463382127,,3
Ensemble-ts,,5,0.008604672999960409,1.3333333333333333,0.5714285714285714,0.8888888888888888,0.9999944442592531,0.6956521739130435,0.9444416665740709,1.999983333472221,0.3333305555787035,0.9999708634783214,,3
DummyADL,0,5,0.04943276643213303,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,1.6665762984539243,0.5,4
DummyFall,0,5,0.0004576274035471362,0.0,4.1666666666666665e-05,1.0,0.0,8.332986125578101e-05,0.5,71996.40002999976,0.0,-0.18583141096282174,0.5,4
ExtraTrees,0,5,0.14711509073029588,4.6,0.6470588235294118,0.7333333333333333,0.9999966665555519,0.6875,0.8666649999444426,1.1999900000833328,0.7999933333888885,1.6666139009468843,0.5,4
MiniRocket,0,5,1.381805348969097,2.6713333333333336,0.7058823529411765,0.8,0.9999972221296265,0.75,0.8999986110648133,0.9999916667361106,0.5999950000416664,1.6666194565024395,0.5,4
Catch22,0,5,8.749095142487516,1.2713333333333334,0.7647058823529411,0.8666666666666667,0.9999977777037012,0.8125,0.933332222185184,0.7999933333888885,0.3999966666944442,1.666625012057995,0.5,4
QUANT,0,5,3.6277908430013834,1.538,0.7647058823529411,0.8666666666666667,0.9999977777037012,0.8125,0.933332222185184,0.7999933333888885,0.3999966666944442,1.666625012057995,0.5,4
ResNet,0,5,1.5677097596367553,-4.328666666666667,0.6818181818181818,1.0,0.9999961109814771,0.8108108108108109,0.9999980554907386,1.399988333430555,0.0,1.66662920886965,0.5,4
Ensemble-All,,5,0.006907865200082597,1.338,0.7222222222222222,0.8666666666666667,0.9999972221296265,0.7878787878787878,0.9333319443981466,0.9999916667361106,0.3999966666944442,1.6666236291981038,,4
Ensemble-ts,,5,0.006647515000016331,2.738,0.7058823529411765,0.8,0.9999972221296265,0.75,0.8999986110648133,0.9999916667361106,0.5999950000416664,1.6666194565024395,,4
DummyADL,0,5,0.05016147581057738,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0161404271506984,4.088853950087307,0.5,5
DummyFall,0,5,0.0004945739687106719,0.0,4.1891218694805486e-05,1.0,0.0,8.377892778822499e-05,0.5,71996.33172110212,0.0,-0.4561245041432395,0.5,5
ExtraTrees,0,5,0.14452466749539558,5.054054054054054,0.7878787878787878,0.7027027027027027,0.9999984148748148,0.7428571428571429,0.8513505587887588,0.5706211618933754,0.8966903972610184,4.088952754363793,0.5,5
MiniRocket,0,5,1.2191210754785082,2.2043243243243245,0.7317073170731707,0.8108108108108109,0.9999975090889945,0.7692307692307693,0.9054041599499028,0.8966903972610184,0.5706211618933754,4.088963912302873,0.5,5
Catch22,0,5,8.910681917731614,0.5827027027027026,0.66,0.8918918918918919,0.9999961504102644,0.7586206896551724,0.9459440211510781,1.385794250312483,0.32606923536764304,4.088968131651006,0.5,5
QUANT,0,5,3.119775894404527,2.9494594594594594,0.8108108108108109,0.8108108108108109,0.9999984148748148,0.8108108108108109,0.9054046128428128,0.5706211618933754,0.5706211618933754,4.088969444444444,0.5,5
ResNet,0,5,2.709718350062166,-1.6605405405405405,0.36486486486486486,0.7297297297297297,0.9999893570166133,0.4864864864864865,0.8648595433731715,3.831313515569806,0.8151730884191076,4.088901605468249,0.5,5
Ensemble-All,,5,0.015634468000098423,1.771891891891892,0.7380952380952381,0.8378378378378378,0.9999975090889945,0.7848101265822784,0.9189176734634161,0.8966903972610184,0.4891038530514646,4.088968084823037,,5
Ensemble-ts,,5,0.012721616333389344,2.3394594594594595,0.7317073170731707,0.8108108108108109,0.9999975090889945,0.7692307692307693,0.9054041599499028,0.8966903972610184,0.5706211618933754,4.088963912302873,,5
DummyADL,0,7,0.14570766821687656,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.444271163670318,0.5,1
DummyFall,0,7,0.002686973057046036,0.0,5.8332847226273116e-05,1.0,0.0,0.00011665888940737284,0.5,51425.571453571225,0.0,-0.20010338605538502,0.5,1
ExtraTrees,0,7,0.3584877036429711,-0.045454545454545456,0.9130434782608695,0.9545454545454546,0.9999992423863617,0.9333333333333333,0.9772723484659082,0.27272500001893923,0.13636250000946962,2.4443560245469715,0.5,1
MiniRocket,0,7,1.4867813124546743,2.227272727272727,0.8181818181818182,0.8181818181818182,0.9999984847727235,0.8181818181818182,0.9090901514772709,0.5454500000378785,0.5454500000378785,2.4443407407407407,0.5,1
