,model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,Dataset
0,ExtraTrees,7.0 ± 0.0,0.45 ± 0.08,0.85 ± 0.03,0.87 ± 0.07,0.71 ± 0.06,1.0 ± 0.0,0.78 ± 0.04,0.35 ± 0.22,0.88 ± 0.17,FARSEEING
1,MixedStack,7.0 ± 0.0,12.48 ± 0.66,0.91 ± 0.03,0.84 ± 0.1,0.81 ± 0.06,1.0 ± 0.0,0.82 ± 0.07,0.49 ± 0.33,0.56 ± 0.18,FARSEEING
2,QUANT,7.0 ± 0.0,4.37 ± 0.29,0.92 ± 0.03,0.9 ± 0.04,0.83 ± 0.06,1.0 ± 0.0,0.86 ± 0.05,0.29 ± 0.11,0.51 ± 0.19,FARSEEING
3,RandomForest,7.0 ± 0.0,0.16 ± 0.01,0.9 ± 0.04,0.83 ± 0.08,0.79 ± 0.08,1.0 ± 0.0,0.81 ± 0.02,0.53 ± 0.39,0.62 ± 0.24,FARSEEING
4,Rocket,7.0 ± 0.0,7.77 ± 0.2,0.91 ± 0.03,0.66 ± 0.17,0.82 ± 0.06,1.0 ± 0.0,0.72 ± 0.11,1.41 ± 0.8,0.55 ± 0.17,FARSEEING
5,TSTree,7.0 ± 0.0,12.51 ± 0.28,0.91 ± 0.03,0.67 ± 0.16,0.82 ± 0.06,1.0 ± 0.0,0.73 ± 0.11,1.31 ± 0.74,0.55 ± 0.17,FARSEEING
6,TreeTS,7.0 ± 0.0,0.58 ± 0.06,0.88 ± 0.05,0.85 ± 0.07,0.77 ± 0.09,1.0 ± 0.0,0.8 ± 0.03,0.42 ± 0.3,0.7 ± 0.28,FARSEEING
