model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,fold,Dataset
QUANT,28,29.771100247025093,0.9098347367651006,0.72,0.819672131147541,0.9999973423826602,0.7666098807495741,0.9344184426884297,0.5409790983982237,0,FARSEEING
QUANT,29,31.846194040207635,0.9098347356303462,0.72,0.819672131147541,0.9999973401131516,0.7666098807495741,0.9344184426985603,0.5409790983982237,0,FARSEEING
QUANT,30,32.94334372853845,0.926228387287148,0.76,0.8524590163934426,0.9999977581808535,0.8035786905246035,0.7868786885713864,0.4426192623258196,0,FARSEEING
QUANT,31,33.75295373997085,0.9262283162115177,0.75,0.8524590163934426,0.9999976160295927,0.7979539641943733,0.8360586065979457,0.4426192623258196,0,FARSEEING
QUANT,32,34.30147116121493,0.926228104660568,0.72,0.8524590163934426,0.9999971929276936,0.780650542118432,0.9835983607182976,0.4426192623258196,0,FARSEEING
QUANT,33,34.82952164783524,0.9180314523833573,0.73,0.8360655737704918,0.9999973309962226,0.7794410132942531,0.9344184426704485,0.49179918036202147,0,FARSEEING
QUANT,34,37.72949860766043,0.9262283131446867,0.75,0.8524590163934426,0.9999976098959307,0.7979539641943733,0.8360586066079096,0.4426192623258196,0,FARSEEING
QUANT,35,39.816237469108735,0.9262283121188997,0.75,0.8524590163934426,0.9999976078443568,0.7979539641943733,0.836058606623642,0.4426192623258196,0,FARSEEING
QUANT,36,39.757273945153926,0.9180316601978379,0.76,0.8360655737704918,0.9999977466251839,0.7962202136400985,0.7868786885753226,0.49179918036202147,0,FARSEEING
QUANT,37,40.87281559062336,0.9262283100620338,0.75,0.8524590163934426,0.999997603730625,0.7979539641943733,0.8360586066037919,0.4426192623258196,0,FARSEEING
QUANT,38,41.71818298728842,0.9262281679526191,0.73,0.8524590163934426,0.9999973195117956,0.7864912462446907,0.9344184426975672,0.4426192623258196,0,FARSEEING
QUANT,39,42.30446614343534,0.9262283079980813,0.75,0.8524590163934426,0.9999975996027202,0.7979539641943733,0.8360586066028464,0.4426192623258196,0,FARSEEING
QUANT,40,43.4060231331856,0.9098347230189225,0.72,0.819672131147541,0.9999973148903041,0.7666098807495741,0.9344184426893389,0.5409790983982237,0,FARSEEING
QUANT,41,44.77114987567188,0.9262283766487538,0.76,0.8524590163934426,0.9999977369040649,0.8035786905246035,0.7868786885981228,0.4426192623258196,0,FARSEEING
QUANT,42,45.06801345273975,0.9262281633231457,0.73,0.8524590163934426,0.999997310252849,0.7864912462446907,0.9344184426812393,0.4426192623258196,0,FARSEEING
QUANT,43,45.70073265569947,0.9262280913167787,0.72,0.8524590163934426,0.9999971662401149,0.780650542118432,0.9835983607376283,0.4426192623258196,0,FARSEEING
QUANT,44,50.407994490165215,0.9262281609963949,0.73,0.8524590163934426,0.9999973055993474,0.7864912462446907,0.9344184427004958,0.4426192623258196,0,FARSEEING
QUANT,45,50.81619647304708,0.9344248811414733,0.74,0.8688524590163934,0.9999973032665532,0.7992663541878947,0.9344184426864878,0.39343934428961735,0,FARSEEING
QUANT,46,52.27681711292113,0.9344248799730548,0.74,0.8688524590163934,0.9999973009297161,0.7992663541878947,0.9344184426906039,0.39343934428961735,0,FARSEEING
QUANT,47,52.9181879202785,0.9262282996706694,0.75,0.8524590163934426,0.9999975829478964,0.7979539641943733,0.8360586066281981,0.4426192623258196,0,FARSEEING
QUANT,48,52.54341623721979,0.9426217412445617,0.76,0.8852459016393442,0.9999975808497792,0.8178557194101237,0.8360586066080676,0.34425942625341516,0,FARSEEING
QUANT,49,54.37046557056661,0.9262282975707294,0.75,0.8524590163934426,0.9999975787480162,0.7979539641943733,0.8360586066061352,0.4426192623258196,0,FARSEEING
QUANT,50,59.26029968261719,0.9262281539675848,0.73,0.8524590163934426,0.9999972915417271,0.7864912462446907,0.9344184426987595,0.4426192623258196,0,FARSEEING
QUANT,51,59.959748212028956,0.9344250881122038,0.77,0.8688524590163934,0.9999977172080141,0.8164449334800441,0.7868786885884153,0.39343934428961735,0,FARSEEING
QUANT,52,56.748411212212,0.9262282230077107,0.74,0.8524590163934426,0.9999974296219788,0.7922585958410542,0.8852385246493487,0.4426192623258196,0,FARSEEING
QUANT,53,57.20879622812247,0.9098349936492043,0.77,0.819672131147541,0.9999978561508676,0.794060018562442,0.7376987705306025,0.5409790983982237,0,FARSEEING
QUANT,54,58.58947305479679,0.9262284353368014,0.78,0.8524590163934426,0.9999978542801603,0.8146214099216711,0.7376987705575251,0.4426192623258196,0,FARSEEING
QUANT,55,59.90031336949877,0.9262281480539721,0.73,0.8524590163934426,0.9999972797145017,0.7864912462446907,0.9344184427033145,0.4426192623258196,0,FARSEEING
QUANT,56,60.86975529596403,0.9180316405006778,0.76,0.8360655737704918,0.9999977072308637,0.7962202136400985,0.786878688571756,0.49179918036202147,0,FARSEEING
QUANT,57,61.86951100350947,0.9344251538323962,0.78,0.8688524590163934,0.999997848648399,0.8220322131636507,0.7376987705398381,0.39343934428961735,0,FARSEEING
QUANT,58,62.65422393535746,0.9262283598044919,0.76,0.8524590163934426,0.9999977032155413,0.8035786905246035,0.7868786885928755,0.4426192623258196,0,FARSEEING
QUANT,59,63.994754409482155,0.918031565649128,0.75,0.8360655737704918,0.9999975575277641,0.7906976744186046,0.8360586066131093,0.49179918036202147,0,FARSEEING
