model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fn_factor
QUANT,0,10,4.614434009757703,-1.5828571428571425,0.8636363636363636,0.9047619047619048,0.9999988033009746,0.8837209302325582,0.9523803540314397,0.430775563538199,0.287183709025466,-1.9444444444444445e-05,0.5,0
QUANT,0,10,4.639772797119069,-1.6304761904761902,0.8260869565217391,0.9047619047619048,0.9999984044012995,0.8636363636363636,0.9523801545816022,0.574367418050932,0.287183709025466,-2.2222222222222223e-05,0.4646464646464647,1
QUANT,0,10,4.630676388499891,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,-1.1111111111111112e-05,0.4040404040404041,2
QUANT,0,10,4.6693220225077745,-5.820952380952381,0.6,1.0,0.9999944154045481,0.75,0.9999972077022741,2.010285963178262,0.0,-3.888888888888889e-05,0.27272727272727276,3
QUANT,0,10,4.942549196825294,-5.868571428571428,0.6,1.0,0.9999944154045481,0.75,0.9999972077022741,2.010285963178262,0.0,-3.888888888888889e-05,0.26262626262626265,4
