model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g
QUANT,3,2.845519910304662,0.9545453282807239,0.97,0.9090909090909091,0.9999997474705387,0.9385582970488631,0.09090833333691521,0.27272500001893935,24.545454545454547,0.001000126979172638
QUANT,4,3.1406180606148757,0.9393936868623736,0.94,0.8787878787878788,0.9999994949368683,0.9083638787070976,0.18181666668712468,0.36363333335858566,33.06060606060606,0.0010001218033768575
QUANT,5,3.4400216172209794,0.9545453282786194,0.97,0.9090909090909091,0.9999997474663297,0.9385582970488631,0.09090833333758266,0.27272500001893935,28.848484848484848,0.0010001269812890104
QUANT,6,4.053835068113324,0.9545452020096796,0.94,0.9090909090909091,0.9999994949284503,0.9242871189773844,0.18181666667791846,0.27272500001893935,24.515151515151516,0.0010001265614577725
QUANT,7,4.448631090102244,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,24.515151515151516,0.0010001265625124952
QUANT,8,5.014340019888873,0.9545452020054705,0.94,0.9090909090909091,0.9999994949200319,0.9242871189773844,0.18181666668759264,0.27272500001893935,28.818181818181817,0.0010001265635672355
QUANT,9,4.7239565576913245,0.9545452020033658,0.94,0.9090909090909091,0.9999994949158226,0.9242871189773844,0.18181666669451238,0.27272500001893935,28.818181818181817,0.0010001265646219935
QUANT,10,5.115977013184924,0.9696968434248731,0.97,0.9393939393939394,0.9999997474558067,0.9544516743374067,0.09090833333808826,0.18181666667929267,19.03030303030303,0.0010001317427895868
QUANT,11,5.626564026832573,0.9696968434238207,0.97,0.9393939393939394,0.9999997474537019,0.9544516743374067,0.0909083333562569,0.18181666667929267,29.060606060606062,0.0010001317438875256
QUANT,12,5.841182669608124,0.9696968434227684,0.97,0.9393939393939394,0.9999997474515973,0.9544516743374067,0.09090833332183307,0.18181666667929267,19.03030303030303,0.0010001317449854828
QUANT,13,6.283989832870778,0.9696968434217159,0.97,0.9393939393939394,0.9999997474494924,0.9544516743374067,0.09090833335470883,0.18181666667929267,29.09090909090909,0.0010001317460834585
QUANT,14,6.794012593916658,0.9848483585721787,0.97,0.9696969696969697,0.9999997474473876,0.9698484611779409,0.0909083333349921,0.09090833333964633,10.433939393939392,0.0010001365035493448
QUANT,15,6.957717373407264,0.9545453282680959,0.97,0.9090909090909091,0.9999997474452827,0.9385582970488631,0.09090833334260993,0.27272500001893935,37.60606060606061,0.001000126991871931
