model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,g,fold,Dataset,model_type
Catch22,7,3.3125283444903584,0.9393922978977232,0.69,0.8787878787878788,0.9999967170075675,0.7730345760092717,1.1818083334200753,0.36363333335858566,0.0010000016414825365,0,FARSEEING,ts
QUANT,7,1.141026048242811,0.9545448232007561,0.86,0.9090909090909091,0.999998737310603,0.8838643371017472,0.4545416666785089,0.27272500001893935,0.0010000047140011304,0,FARSEEING,ts
Ensemble,7,1.141026048242811,0.9242417928977258,0.85,0.8484848484848485,0.999998737310603,0.8492417484388938,0.4545416666785089,0.454541666698232,0.001000003282965073,0,FARSEEING,ts
Rocket,7,2.6064357515496046,0.7674405038081361,0.62,0.5348837209302325,0.9999972866860397,0.5743052758759565,0.9767360465859634,1.3953372093992242,0.0009999941858042534,1,FARSEEING,ts
Catch22,7,3.0875763292436837,0.941859302267439,0.76,0.8837209302325582,0.9999976743023198,0.8172043010752689,0.8372023256336926,0.34883430234980595,0.0010000028747967856,1,FARSEEING,ts
QUANT,7,4.279569884504706,0.9534876937645331,0.85,0.9069767441860465,0.9999986433430199,0.8775645268034413,0.4883680232729988,0.279067441879845,0.0010000045544533347,1,FARSEEING,ts
Ensemble,7,4.279569884504706,0.9186040697383706,0.86,0.8372093023255814,0.9999988371511599,0.8484516305837215,0.4186011628168463,0.4883680232897283,0.0010000031332054857,1,FARSEEING,ts
Rocket,7,2.557856384064231,0.8235291640925763,0.92,0.6470588235294118,0.9999995046557407,0.7597597597597597,0.17831342248262716,1.06988053496008,0.0009999994221032305,2,FARSEEING,ts
Catch22,7,4.247423380643378,0.8529409287984586,0.92,0.7058823529411765,0.9999995046557407,0.7988422575976846,0.17831342248262716,0.8915671124667333,0.0010000008255668135,2,FARSEEING,ts
QUANT,7,1.3861322127582938,0.8823526935043409,0.93,0.7647058823529411,0.9999995046557407,0.8392919125303714,0.17831342248262716,0.7132536899733869,0.0010000022290303965,2,FARSEEING,ts
Ensemble,7,1.3861322127582938,0.8666663888749992,0.92,0.7333333333333333,0.9999994444166653,0.8161290322580644,0.17831342247705767,0.7132536899733869,0.0010000013889467617,2,FARSEEING,ts
Rocket,7,2.6149631183340807,0.8124973795771581,0.5,0.625,0.9999947591543161,0.5555555555555556,1.8865937079138408,1.1319562247373312,0.000999993361651132,3,FARSEEING,ts
Catch22,7,3.343774825715767,0.9062494759154316,0.87,0.8125,0.9999989518308632,0.8402674591381872,0.3773187415987544,0.5659781123686656,0.0010000027077475646,3,FARSEEING,ts
QUANT,7,1.18179727233047,0.9062494759154316,0.87,0.8125,0.9999989518308632,0.8402674591381872,0.3773187415987544,0.5659781123686656,0.0010000027077475646,3,FARSEEING,ts
Ensemble,7,1.18179727233047,0.8999994444166652,0.86,0.8,0.9999988888333305,0.8289156626506025,0.377318741582342,0.5659781123686655,0.0010000023149112694,3,FARSEEING,ts
Rocket,7,2.8563321027653137,0.8620681024634521,0.78,0.7241379310344828,0.9999982738924215,0.7510316368638239,0.6213624407234636,0.8284832542822228,0.000999999808211869,4,FARSEEING,ts
Catch22,7,5.888353392394012,0.8448271546800019,0.87,0.6896551724137931,0.9999991369462108,0.7694008401503427,0.31068122034174894,0.9320436610675005,0.001,4,FARSEEING,ts
QUANT,7,1.3199835292255946,0.89655100492644,0.82,0.7931034482758621,0.9999985615770179,0.8063274903805046,0.5178020339162369,0.621362440711667,0.0010000017740402105,4,FARSEEING,ts
Ensemble,7,1.3199835292255946,0.9107138392633918,0.88,0.8214285714285714,0.999999107098212,0.8497061293031066,0.3106812203578046,0.5178020339263893,0.0010000030755249723,4,FARSEEING,ts
