model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,g,fold,Dataset,model_type
Ensemble,7,4.218463711899081,0.9534878875726731,0.89,0.9069767441860465,0.9999990309592999,0.898408179112204,0.34883430236069385,0.279067441879845,0.0010000050066685596,1,FARSEEING,ts
Rocket,7,7.891571323773921,0.9411757275718463,0.83,0.8823529411764706,0.9999985139672221,0.8553761593953967,0.5349402674878472,0.35662684498669345,0.0010000038801640237,2,FARSEEING,ts
Catch22,7,17.615968214023226,0.911763962865964,0.82,0.8235294117647058,0.9999985139672221,0.8217609162491051,0.5349402674878472,0.5349402674800402,0.0010000024767004407,2,FARSEEING,ts
QUANT,7,4.122352023129503,0.9705877399498584,0.89,0.9411764705882353,0.9999990093114813,0.9148731127529715,0.35662684500521996,0.17831342249334672,0.0010000058615243761,2,FARSEEING,ts
Ensemble,7,4.122352023129503,0.9666661110833319,0.88,0.9333333333333333,0.9999988888333305,0.9058823529411765,0.3566268449897478,0.17831342249334664,0.001000005463190596,2,FARSEEING,ts
Rocket,7,7.497266042604145,0.9062468554925898,0.52,0.8125,0.9999937109851794,0.6341463414634146,2.2639124494726297,0.5659781123686656,0.0009999965934788704,3,FARSEEING,ts
Catch22,7,17.74084486465339,0.9062484277462948,0.68,0.8125,0.9999968554925897,0.7403685092127302,1.1319562247562975,0.5659781123686656,0.001000000262040087,3,FARSEEING,ts
QUANT,7,3.7232505948446932,0.9374989518308632,0.78,0.875,0.9999979036617265,0.824773413897281,0.7546374831575432,0.3773187415791104,0.0010000029697876513,3,FARSEEING,ts
Ensemble,7,3.7232505948446932,0.9333316665833291,0.68,0.8666666666666667,0.9999966664999916,0.7620689655172413,1.1319562247470258,0.37731874157911033,0.0010000012963503108,3,FARSEEING,ts
Rocket,7,7.817956227292466,0.913789795075417,0.51,0.8275862068965517,0.9999933832542824,0.6310904872389791,2.381889356046662,0.5178020339263892,0.000999996547813644,4,FARSEEING,ts
Catch22,7,27.544773556482976,0.9827577576358659,0.82,0.9655172413793104,0.9999982738924215,0.8868288914638857,0.6213624407234636,0.10356040678527773,0.001000005513908763,4,FARSEEING,ts
QUANT,7,3.9761311270739816,0.9827580453204623,0.88,0.9655172413793104,0.9999988492616143,0.9207772795216742,0.4142416271489757,0.10356040678527773,0.001000006185167221,4,FARSEEING,ts
Ensemble,7,3.9761311270739816,0.9642843749330323,0.74,0.9285714285714286,0.9999973212946361,0.8236301369863014,0.9320436610734139,0.20712081357055562,0.0010000035219721458,4,FARSEEING,ts
