,model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,Dataset
0,Ensemble,28.0 $\pm$ 0.0,0.36 $\pm$ 0.04,0.52 $\pm$ 0.05,0.302089552238806 $\pm$ 0.36,0.05 $\pm$ 0.11,1.0 $\pm$ 0.0,0.07339502881666145 $\pm$ 0.13,0.19 $\pm$ 0.28,1.48 $\pm$ 0.83,FARSEEING
1,ExtraTrees,28.0 $\pm$ 0.0,0.7 $\pm$ 2.81,0.52 $\pm$ 0.05,0.28955223880597014 $\pm$ 0.36,0.04 $\pm$ 0.1,1.0 $\pm$ 0.0,0.0638626640183481 $\pm$ 0.12,0.34 $\pm$ 0.47,2.87 $\pm$ 0.31,FARSEEING
2,RandomForest,28.0 $\pm$ 0.0,0.11 $\pm$ 0.04,0.52 $\pm$ 0.05,0.2947014925373134 $\pm$ 0.36,0.05 $\pm$ 0.11,1.0 $\pm$ 0.0,0.0730877781134504 $\pm$ 0.13,0.33 $\pm$ 0.48,2.85 $\pm$ 0.32,FARSEEING
