model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold,thresh
ExtraTrees,0.0,7,0.3393863803715092,-0.0454545454545454,0.9130434782608696,0.9545454545454546,0.9999992423863616,0.9333333333333332,0.9772723484659082,0.2727250000189392,0.1363625000094696,0.0009999984216514,1,
QUANT,0.0,7,4.57495576029335,-0.1818181818181818,0.75,0.9545454545454546,0.999997348352266,0.84,0.9772714014488604,0.9545375000662872,0.1363625000094696,0.0009999962119633,1,
ExtraTrees,0.0,7,0.1435495783838918,5.000294117647059,0.8928571428571429,0.7352941176470589,0.9999992646691158,0.8064516129032258,0.8676466911580873,0.2647036764889704,0.7941110294669113,0.0009999950978349,2,
QUANT,0.0,7,4.612756078836775,0.3567647058823529,0.8378378378378378,0.9117647058823528,0.9999985293382316,0.8732394366197183,0.9558816176102922,0.5294073529779408,0.2647036764889704,0.0009999969361468,2,
ExtraTrees,0.0,7,0.1498348942337508,3.6666666666666665,0.5833333333333334,0.7777777777777778,0.9999953701388772,0.6666666666666666,0.8888865739583276,1.6666527778935176,0.666661111157407,0.0009999912033371,3,
QUANT,0.0,7,4.0498753658762645,1.3333333333333333,0.7272727272727273,0.8888888888888888,0.9999972220833264,0.8,0.9444430554861076,0.9999916667361104,0.3333305555787035,0.0009999950615226,3,
ExtraTrees,0.0,7,0.1496974073321931,6.0,0.5882352941176471,0.6666666666666666,0.999996110916657,0.625,0.8333313887916618,1.399988333430555,0.9999916667361106,0.0009999903699691,4,
QUANT,0.0,7,4.134107418120013,2.938,0.8,0.8,0.999998333249996,0.8,0.899999166624998,0.5999950000416664,0.5999950000416664,0.0009999949997916,4,
ExtraTrees,0.0,7,0.1481736114022842,4.243243243243243,0.78125,0.6756756756756757,0.9999984148482522,0.7246376811594203,0.8378370452619639,0.5706211618933754,0.9782077061029292,0.000999993168808,5,
QUANT,0.0,7,4.337823854824787,0.9494594594594596,0.775,0.8378378378378378,0.9999979619477528,0.8051948051948052,0.9189178998927954,0.7336557795771969,0.4891038530514646,0.0009999951313604,5,
ExtraTrees,0.0,10,0.4405967524622546,-1.0,0.9166666666666666,1.0,0.99999924236742,0.9565217391304348,0.99999962118371,0.2727250000189392,0.0,0.0009999991161026,1,
QUANT,0.0,10,5.293346495168108,1.1363636363636365,0.7777777777777778,0.9545454545454546,0.99999772710226,0.8571428571428571,0.9772715908238572,0.8181750000568178,0.1363625000094696,0.0009999966538173,1,
ExtraTrees,0.0,10,0.165805591968464,3.706176470588235,0.8666666666666667,0.7647058823529411,0.9999990195343084,0.8125,0.8823524509436247,0.3529382353186272,0.7058764706372544,0.0009999952611219,2,
QUANT,0.0,10,5.100766443644474,0.9744117647058822,0.8108108108108109,0.8823529411764706,0.9999982841850392,0.8450704225352113,0.9411756126807548,0.6176419118075976,0.3529382353186272,0.0009999962007271,2,
ExtraTrees,0.0,10,0.1719553181206942,3.6666666666666665,0.7,0.7777777777777778,0.9999972220138732,0.7368421052631579,0.8888874998958256,0.9999916667361104,0.666661111157407,0.0009999933637551,3,
QUANT,0.0,10,5.574474416537838,1.3333333333333333,0.8,0.8888888888888888,0.9999981480092488,0.8421052631578947,0.9444435184490688,0.666661111157407,0.3333305555787035,0.000999996141718,3,
ExtraTrees,0.0,10,0.1667402200715303,6.0,0.6666666666666666,0.6666666666666666,0.9999972220138732,0.6666666666666666,0.83333194434027,0.9999916667361106,0.9999916667361106,0.000999991666111,4,
QUANT,0.0,10,4.744291506209291,1.4713333333333334,0.8666666666666667,0.8666666666666667,0.9999988888055492,0.8666666666666667,0.933332777736108,0.3999966666944442,0.3999966666944442,0.0009999966664444,4,
ExtraTrees,0.0,10,0.1653279726390858,3.891891891891892,0.7352941176470589,0.6756756756756757,0.9999979618965232,0.704225352112676,0.8378368187860994,0.7336557795771969,0.9782077061029292,0.0009999926402435,5,
QUANT,0.0,10,5.249609485567494,0.9494594594594596,0.7209302325581395,0.8378378378378378,0.9999972825286976,0.775,0.9189175601832678,0.9782077061029292,0.4891038530514646,0.0009999943386488,5,
ExtraTrees,0.0,15,0.6070254415198506,-0.0454545454545454,0.875,0.9545454545454546,0.9999988635037724,0.9130434782608696,0.9772721590246136,0.4090875000284089,0.1363625000094696,0.0009999979795791,1,
QUANT,0.0,15,6.588388307394812,1.1363636363636365,0.7241379310344828,0.9545454545454546,0.9999969693433932,0.8235294117647058,0.9772712119444238,1.090900000075757,0.1363625000094696,0.0009999957697437,1,
ExtraTrees,0.0,15,0.1974108667911034,3.676764705882353,0.896551724137931,0.7647058823529411,0.999999264620088,0.8253968253968254,0.8823525734865145,0.2647036764889704,0.7058764706372544,0.0009999955469032,2,
QUANT,0.0,15,6.460129089487561,1.4941176470588236,0.8285714285714286,0.8529411764705882,0.999998529240176,0.8405797101449275,0.926469852855382,0.5294073529779408,0.441172794148284,0.0009999960371523,2,
ExtraTrees,0.0,15,0.2050846281569344,6.0,0.5,0.6666666666666666,0.9999944437962208,0.5714285714285714,0.8333305552314436,1.999983333472221,0.9999916667361104,0.0009999884246719,3,
QUANT,0.0,15,6.095007154938025,1.3333333333333333,0.8,0.8888888888888888,0.9999981479320736,0.8421052631578947,0.9444435184104812,0.666661111157407,0.3333305555787035,0.0009999961415573,3,
ExtraTrees,0.0,15,0.2005329905026669,4.6,0.6470588235294118,0.7333333333333333,0.9999966662777324,0.6875,0.8666649998055329,1.1999900000833328,0.7999933333888885,0.0009999920361742,4,
QUANT,0.0,15,6.397084730231617,1.338,0.8125,0.8666666666666667,0.9999983331388662,0.8387096774193549,0.9333324999027665,0.5999950000416664,0.3999966666944442,0.0009999960180871,4,
ExtraTrees,0.0,15,0.2008998098083762,2.45945945945946,0.75,0.7297297297297297,0.9999979618111348,0.7397260273972602,0.8648638457704322,0.7336557795771969,0.8151730884191076,0.0009999934703014,5,
QUANT,0.0,15,6.507577347800694,0.3278378378378379,0.7209302325581395,0.8378378378378378,0.9999972824148462,0.775,0.918917560126342,0.9782077061029292,0.4891038530514646,0.0009999943384117,5,
ExtraTrees,0.0,30,1.1388119347604866,-1.0,0.88,1.0,0.999998863361676,0.9361702127659576,0.999999431680838,0.4090875000284089,0.0,0.000999998673933,1,
QUANT,0.0,30,9.404867089952807,0.6818181818181818,0.8333333333333334,0.9090909090909092,0.9999984844822348,0.8695652173913043,0.9545446967865718,0.5454500000378785,0.2727250000189392,0.0009999968426976,1,
ExtraTrees,0.0,30,0.3073020996283975,3.5885294117647057,0.9,0.7941176470588235,0.9999992645281434,0.84375,0.8970584557934834,0.2647036764889704,0.6176419118075976,0.0009999959957977,2,
QUANT,0.0,30,8.3271745660811,-3.779411764705882,0.8461538461538461,0.9705882352941176,0.9999985290562866,0.9041095890410958,0.985293382175202,0.5294073529779408,0.0882345588296568,0.000999997834462,2,
