model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
TS Ensemble,7,0.0008018003919949898,0.8958331597135412,0.95,0.7916666666666666,0.9999996527604158,0.8636363636363635,0.12499895834058652,0.6249947917100691,3.0833333333333335,0.0009999964118875325,12,FARSEEING,ts
Rocket,7,4.742177545757594,0.9999979165624948,0.67,1.0,0.9999958331249896,0.8023952095808384,1.4999875000870382,0.0,-3.0,0.0009999951386863342,13,FARSEEING,ts
Catch22,7,10.204025509387234,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.3333333333333333,0.001,13,FARSEEING,ts
QUANT,7,2.909684217218699,0.9999993055208316,0.86,1.0,0.9999986110416632,0.924731182795699,0.4999958333623461,0.0,-1.1666666666666667,0.0009999983795621113,13,FARSEEING,ts
TS Ensemble,7,0.0007947847868005434,0.9999993055208316,0.86,1.0,0.9999986110416632,0.924731182795699,0.4999958333623461,0.0,-2.3333333333333335,0.0009999983795621113,13,FARSEEING,ts
Rocket,7,7.067424386274685,0.8653833332692276,0.7,0.7307692307692307,0.9999974357692244,0.7150537634408602,0.9230692308197186,0.8076855769791663,3.8461538461538463,0.0009999928950031036,14,FARSEEING,ts
Catch22,7,16.953588386293163,0.9615378204807676,0.86,0.9230769230769231,0.9999987178846121,0.8904227782571181,0.46153461542984214,0.23076730770833306,-0.8049999999999999,0.0009999973289485354,14,FARSEEING,ts
QUANT,7,4.17962855280579,0.9807682691826899,0.81,0.9615384615384616,0.9999980768269182,0.8792878853669127,0.6923019231447631,0.11538365385416653,-0.34346153846153843,0.0009999971686854474,14,FARSEEING,ts
TS Ensemble,7,0.0010082616578214443,0.9423070512499984,0.85,0.8846153846153846,0.9999987178846121,0.8669623059866962,0.46153461542984214,0.3461509615624999,0.07961538461538463,0.000999996741317213,14,FARSEEING,ts
Rocket,7,6.982871578718728,0.9736826753618382,0.72,0.9473684210526315,0.9999969296710449,0.8181818181818181,1.105253947457796,0.15789342106359652,0.911578947368421,0.0009999956138523316,15,FARSEEING,ts
Catch22,7,16.95877622355536,0.8157877192105218,0.6,0.631578947368421,0.9999964910526228,0.6153846153846154,1.263147368517486,1.1052539474451748,6.701052631578947,0.000999990277372668,15,FARSEEING,ts
QUANT,7,4.271633017060888,0.9210517543421031,0.8,0.8421052631578947,0.9999982455263114,0.8205128205128205,0.6315736842387601,0.4736802631907893,2.263157894736842,0.0009999955407498705,15,FARSEEING,ts
TS Ensemble,7,0.000983814684380042,0.9473679824342094,0.89,0.8947368421052632,0.9999991227631557,0.8923621350634031,0.3157868421193801,0.31578684212719277,2.2273684210526317,0.000999997368311399,15,FARSEEING,ts
Rocket,7,7.086537831835003,0.9615378204807676,0.86,0.9230769230769231,0.9999987178846121,0.8904227782571181,0.46153461542984214,0.23076730770833306,-1.6153846153846154,0.0009999973289485354,21,FARSEEING,ts
Catch22,7,18.00612611630508,0.8846115382692212,0.45,0.7692307692307693,0.9999923073076731,0.5678233438485805,2.7692076924991214,0.6923019231249995,3.1538461538461537,0.000999987499479145,21,FARSEEING,ts
QUANT,7,4.180654508308408,0.9615371794230738,0.75,0.9230769230769231,0.9999974357692244,0.8275862068965517,0.9230692308197186,0.23076730770833306,0.3076923076923077,0.0009999958331597149,21,FARSEEING,ts
TS Ensemble,7,0.0010410796922559922,0.9615381410096147,0.92,0.9230769230769231,0.9999993589423061,0.9215358931552587,0.23076730771492107,0.23076730770833306,-0.3076923076923077,0.0009999980768429454,21,FARSEEING,ts
Rocket,7,6.784585772154815,0.9499987499374969,0.75,0.9,0.9999974998749938,0.8181818181818182,0.8999925000602161,0.2999975000208331,0.15,0.0009999955553703628,22,FARSEEING,ts
Catch22,7,17.715209215176458,0.9249983332499958,0.68,0.85,0.9999966664999916,0.7555555555555556,1.1999900000936103,0.4499962500312498,1.6215,0.0009999938191869106,22,FARSEEING,ts
QUANT,7,4.094206092921057,0.974999166624998,0.83,0.95,0.9999983332499959,0.8859550561797753,0.5999950000268222,0.1499987500104167,0.0,0.0009999972915538148,22,FARSEEING,ts
TS Ensemble,7,0.0010334104743032228,0.9499989582812474,0.78,0.9,0.9999979165624948,0.8357142857142857,0.7499937500435192,0.2999975000208331,0.85,0.0009999960415017293,22,FARSEEING,ts
Rocket,7,6.575793043433982,0.9027770826876397,0.83,0.8055555555555556,0.9999986098197238,0.8175951086956521,0.5004356802181097,0.583841626934931,-0.02305555555555551,0.0009999954047201943,23,FARSEEING,ts
Catch22,7,13.612010559106048,0.9027774302327087,0.91,0.8055555555555556,0.9999993049098619,0.854598445595855,0.25021784010905485,0.583841626934931,1.5880555555555556,0.0009999962156519247,23,FARSEEING,ts
QUANT,7,5.897305819368617,0.9166662032732413,0.88,0.8333333333333334,0.9999990732131492,0.8560311284046693,0.33362378681207316,0.5004356802299408,0.9666666666666668,0.0009999963701151113,23,FARSEEING,ts
TS Ensemble,7,0.0007951514055140507,0.8999997618928566,0.93,0.8,0.9999995237857131,0.8601156069364163,0.17142714286480634,0.5999950000416662,3.0905714285714287,0.0009999963887384199,23,FARSEEING,ts
Rocket,7,7.329136780975162,0.7916656249479141,0.7,0.5833333333333334,0.9999979165624948,0.6363636363636365,0.7499937500435191,1.249989583420138,7.4433333333333325,0.000999991203337176,24,FARSEEING,ts
Catch22,7,7.098431905810032,0.91666527770833,0.71,0.8333333333333334,0.9999972220833264,0.7667386609071274,0.9999916667246922,0.49999583336805514,2.9275,0.0009999942127218262,24,FARSEEING,ts
QUANT,7,5.467343068721091,0.8333319443749965,0.67,0.6666666666666666,0.9999972220833264,0.6683291770573566,0.9999916667246922,0.9999916667361105,5.984166666666667,0.00099999166631943,24,FARSEEING,ts
TS Ensemble,7,0.0008855098237593969,0.7916656249479141,0.7,0.5833333333333334,0.9999979165624948,0.6363636363636365,0.7499937500435191,1.249989583420138,7.6933333333333325,0.000999991203337176,24,FARSEEING,ts
Rocket,7,9.22907966336593,0.9047603046812607,0.68,0.8095238095238095,0.9999967998387119,0.7391304347826089,1.1519903232618691,0.5759951616406422,1.2380952380952381,0.0009999933330533215,25,FARSEEING,ts
