model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,fold,Dataset,model_type
QUANT,40,6.215909974940476,0.8688610240334378,0.57,0.7575757575757576,0.9801462904911181,0.650536407212965,1.727258333453278,0.7272666667171713,0,FARSEEING,ts
Ensemble,40,6.215909974940476,0.8275862068965517,0.67,0.6666666666666666,0.9885057471264368,0.6683291770573566,0.9999916667361093,0.9999916667361107,0,FARSEEING,ts
Rocket,40,8.490153928028382,0.7646351242983159,0.77,0.5348837209302325,0.9943865276663993,0.6312600249509891,0.48836802328972956,1.3953372093992242,1,FARSEEING,ts
Catch22,40,13.286591116582818,0.8327987169206095,0.72,0.6744186046511628,0.9911788291900562,0.6964643095396931,0.7674354651695696,0.9767360465794569,1,FARSEEING,ts
QUANT,40,6.1685048091721635,0.843223736968725,0.68,0.6976744186046512,0.9887730553327987,0.6887238352464551,0.9767360465794591,0.9069691861094956,1,FARSEEING,ts
Ensemble,40,6.1685048091721635,0.7770649558941459,0.83,0.5581395348837209,0.9959903769045709,0.6674484838331379,0.3488343023498096,1.3255703489292627,1,FARSEEING,ts
Rocket,40,8.926003300405846,0.732183908045977,0.88,0.4666666666666667,0.9977011494252873,0.6099009900990099,0.19999833334722578,1.599986666777777,2,FARSEEING,ts
Catch22,40,13.258032782435553,0.7632183908045977,0.73,0.5333333333333333,0.993103448275862,0.616358839050132,0.5999950000416676,1.399988333430555,2,FARSEEING,ts
QUANT,40,6.082573508893652,0.796551724137931,0.75,0.6,0.993103448275862,0.6666666666666665,0.5999950000416676,1.1999900000833328,2,FARSEEING,ts
Ensemble,40,6.082573508893652,0.7655172413793103,0.89,0.5333333333333333,0.9977011494252873,0.6669789227166276,0.19999833334722578,1.399988333430555,2,FARSEEING,ts
Rocket,40,8.920370708412838,0.7620689655172413,0.67,0.5333333333333333,0.9908045977011494,0.5939058171745152,0.7999933333888933,1.399988333430555,3,FARSEEING,ts
Catch22,40,10.49963426856595,0.7597701149425287,0.57,0.5333333333333333,0.9862068965517241,0.5510574018126888,1.1999900000833352,1.399988333430555,3,FARSEEING,ts
QUANT,40,6.093491002015901,0.8586206896551725,0.61,0.7333333333333333,0.9839080459770115,0.6660049627791563,1.3999883334305514,0.7999933333888887,3,FARSEEING,ts
Ensemble,40,6.093491002015901,0.828735632183908,0.71,0.6666666666666666,0.9908045977011494,0.6876513317191283,0.7999933333888933,0.9999916667361108,3,FARSEEING,ts
Rocket,40,8.76615888290551,0.7635467980295567,0.68,0.5357142857142857,0.9913793103448276,0.5992949471210341,0.7499937500520796,1.392845535811011,4,FARSEEING,ts
Catch22,40,22.096419971977326,0.7235221674876847,0.48,0.4642857142857143,0.9827586206896551,0.4720121028744327,1.4999875001041687,1.6071294643973204,4,FARSEEING,ts
QUANT,40,6.206554110497769,0.7610837438423645,0.58,0.5357142857142857,0.9864532019704434,0.5569782330345711,1.1785616072246978,1.392845535811011,4,FARSEEING,ts
Ensemble,40,6.206554110497769,0.7450738916256158,0.64,0.5,0.9901477832512315,0.5614035087719298,0.8571357143452365,1.4999875001041658,4,FARSEEING,ts
