model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
Ensemble,7,0.40842351704360796,0.833333055541666,0.91,0.6666666666666666,0.9999994444166653,0.7695560253699789,0.18865937077232106,0.9432968539477762,52.664,0.0009999942590200516,3,FARSEEING,tabular
LogisticCV,7,0.11089351749196849,0.8965515802956329,0.96,0.7931034482758621,0.9999997123154036,0.8686073957513769,0.10356040676726108,0.621362440711667,36.93103448275862,0.0009999964998666114,4,FARSEEING,tabular
RandomForest,7,0.16561608583885173,0.8965514364533347,0.92,0.7931034482758621,0.9999994246308072,0.851851851851852,0.20712081357448786,0.621362440711667,36.310344827586206,0.0009999961642373823,4,FARSEEING,tabular
ExtraTrees,7,0.38307784647754073,0.8103446837439088,0.95,0.6206896551724138,0.9999997123154036,0.7508232711306256,0.10356040676726108,1.1391644746380563,64.27586206896552,0.0009999938627798118,4,FARSEEING,tabular
Ensemble,7,0.38307784647754073,0.8749998511830354,0.95,0.75,0.9999997023660707,0.838235294117647,0.10356040677305829,0.7249228474969449,43.607142857142854,0.0009999958331597149,4,FARSEEING,tabular
Rocket,7,9.128075270011788,0.9090904040151503,0.87,0.8181818181818182,0.9999989898484823,0.8432956381260098,0.3636333333508003,0.5454500000378784,34.75181818181818,0.0009999960436061941,0,FARSEEING,ts
Catch22,7,16.302608692453603,0.893938510056816,0.79,0.7878787878787878,0.9999982322348441,0.7889379681198387,0.636358333373892,0.636358333377525,55.40121212121212,0.000999994696748728,0,FARSEEING,ts
QUANT,7,4.403778968676441,0.9393939393939394,1.0,0.8787878787878788,1.0,0.9354838709677419,0.0,0.36363333335858566,23.297272727272727,0.0009999981480709845,0,FARSEEING,ts
Ensemble,7,4.403778968676441,0.9090906565530297,0.93,0.8181818181818182,0.9999994949242411,0.8705148205928237,0.18181666669538302,0.5454500000378784,37.90333333333333,0.0009999966328563352,0,FARSEEING,ts
Rocket,7,9.180443474509742,0.9534875968604631,0.83,0.9069767441860465,0.9999984495348798,0.8667827018342482,0.558134883769117,0.279067441879845,27.524651162790697,0.000999996769891252,1,FARSEEING,ts
Catch22,7,9.428400704108105,0.9302324612354649,0.97,0.8604651162790697,0.99999980619186,0.9119552788718078,0.06976686045615249,0.4186011628197673,29.22139534883721,0.0009999976420206138,1,FARSEEING,ts
QUANT,7,4.506490823442763,0.9534882751889533,0.98,0.9069767441860465,0.99999980619186,0.9420754251910278,0.06976686045615249,0.279067441879845,21.020232558139533,0.0009999983526445386,1,FARSEEING,ts
Ensemble,7,4.506490823442763,0.9534883720930232,1.0,0.9069767441860465,1.0,0.951219512195122,0.0,0.279067441879845,17.059534883720932,0.000999998578752151,1,FARSEEING,ts
Rocket,7,9.338283205829851,0.9411764705882353,1.0,0.8823529411764706,1.0,0.9375,0.0,0.35662684498669345,24.823529411764707,0.0009999981837530102,2,FARSEEING,ts
Catch22,7,11.777157789508452,0.7941173993866939,0.91,0.5882352941176471,0.9999995046557407,0.7145661562622693,0.17831342248262716,1.2481939574534267,65.3529411764706,0.0009999930652387662,2,FARSEEING,ts
QUANT,7,4.35821557108362,0.9117647058823529,1.0,0.8235294117647058,1.0,0.9032258064516129,0.0,0.5349402674800402,35.294117647058826,0.0009999972756295154,2,FARSEEING,ts
Ensemble,7,4.35821557108362,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9285714285714286,0.0,0.3566268449866933,29.333333333333332,0.000999997962878083,2,FARSEEING,ts
Rocket,7,9.23696410132353,0.9062479036617265,0.62,0.8125,0.999995807323453,0.7033158813263525,1.5092749663150864,0.5659781123686656,43.36,0.0009999922261440888,3,FARSEEING,ts
Catch22,7,15.6723504571076,0.9062489518308632,0.76,0.8125,0.9999979036617265,0.7853736089030208,0.7546374831575432,0.5659781123686656,25.985000000000003,0.0009999946718515665,3,FARSEEING,ts
QUANT,7,86.48681888578255,0.8749994759154316,0.86,0.75,0.9999989518308632,0.8012422360248448,0.3773187415987544,0.7546374831582208,35.9225,0.0009999949338916534,3,FARSEEING,ts
Ensemble,7,86.48681888578255,0.8999986110416632,0.71,0.8,0.9999972220833264,0.752317880794702,0.943296853937005,0.5659781123686655,29.197333333333336,0.000999993703441347,3,FARSEEING,ts
Rocket,7,10.660263474015931,0.9482738482767906,0.65,0.896551724137931,0.9999959724156502,0.7536231884057972,1.4498456949814493,0.3106812203558335,22.79310344827586,0.0009999937189387135,4,FARSEEING,ts
Catch22,7,14.498802398870593,0.8620682463057503,0.81,0.7241379310344828,0.9999985615770179,0.7646662171274445,0.5178020339162369,0.8284832542822228,42.172413793103445,0.0009999941025149754,4,FARSEEING,ts
QUANT,7,6.703769926927448,0.8965511487687382,0.85,0.7931034482758621,0.9999988492616143,0.8205666316894018,0.4142416271489757,0.621362440711667,31.93103448275862,0.0009999954929789242,4,FARSEEING,ts
Ensemble,7,6.703769926927448,0.9464275297098188,0.78,0.8928571428571429,0.9999979165624948,0.8326216908625107,0.7249228474886675,0.3106812203558334,14.964285714285714,0.000999995932370198,4,FARSEEING,ts
