model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
QUANT,14,6.021983905571336,0.9651160852503207,0.95,0.9302325581395349,0.9999996123611066,0.940012368583797,0.13953372093649608,0.20930058140988364,16.60906976744186,0.0009999984817603209,1,FARSEEING,ts
Ensemble,14,6.021983905571336,0.9418603682065557,0.97,0.8837209302325582,0.9999998061805533,0.9248525906410738,0.06976686046824804,0.34883430234980595,28.292093023255813,0.0009999979972157421,1,FARSEEING,ts
Rocket,14,16.463307436076338,0.9411762229015055,0.94,0.8823529411764706,0.9999995046265404,0.9102646868947708,0.1783134224974967,0.35662684498669345,27.235294117647058,0.0009999976057151084,2,FARSEEING,ts
Catch22,14,18.200474305307505,0.7941173993720938,0.91,0.5882352941176471,0.9999995046265404,0.7145661562622693,0.1783134224974967,1.2481939574534267,65.3529411764706,0.0009999930648299695,2,FARSEEING,ts
QUANT,14,28.791330735696018,0.8529411764705883,1.0,0.7058823529411765,1.0,0.8275862068965517,0.0,0.8915671124667333,46.1764705882353,0.000999995459114861,2,FARSEEING,ts
Ensemble,14,28.791330735696018,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.17831342249334664,18.666666666666668,0.0009999989813796195,2,FARSEEING,ts
Rocket,14,16.155324855757428,0.9374986897116684,0.74,0.875,0.9999973794233369,0.8018575851393188,0.9432968539402189,0.3773187415791104,32.4225,0.0009999950209460937,3,FARSEEING,ts
Catch22,14,29.616655466444314,0.8749992138270011,0.8,0.75,0.9999984276540022,0.7741935483870969,0.5659781123561387,0.7546374831582208,38.485,0.0009999943221315104,3,FARSEEING,ts
QUANT,14,5.9877492697224755,0.8749994758846673,0.86,0.75,0.9999989517693347,0.8012422360248448,0.37731874158408024,0.7546374831582208,35.9225,0.0009999949335942708,3,FARSEEING,ts
Ensemble,14,5.9877492697224755,0.8999994443842527,0.86,0.8,0.9999988887685055,0.8289156626506025,0.37731874156733197,0.5659781123686655,31.397333333333336,0.0009999956477129196,3,FARSEEING,ts
Rocket,14,15.931163588875203,0.9482741358605765,0.68,0.896551724137931,0.999996547583222,0.773403324584427,1.2427248814092346,0.3106812203558335,27.448275862068964,0.0009999943898695428,4,FARSEEING,ts
Catch22,14,52.09082864767122,0.9137920964933823,0.77,0.8275862068965517,0.9999979860902128,0.7977552341895101,0.7249228474820596,0.5178020339263892,27.689655172413794,0.0009999950132173715,4,FARSEEING,ts
QUANT,14,5.71592653923522,0.9137926718961786,0.89,0.8275862068965517,0.9999991368958054,0.8576591045974704,0.3106812203722903,0.5178020339263892,32.275862068965516,0.0009999963558126946,4,FARSEEING,ts
Ensemble,14,5.71592653923522,0.9285702379662558,0.75,0.8571428571428571,0.9999976187896545,0.7999999999999999,0.8284832543005064,0.41424162714111157,28.214285714285715,0.0009999950391864582,4,FARSEEING,ts
