model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,tolerance
QUANT,7,4.325488920181036,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,-0.9393939393939394,0.0009999974325529558,0
QUANT,7,4.495380610241741,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,0.8787878787878788,0.0009999974325529558,20
QUANT,7,4.326744580900465,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,2.696969696969697,0.0009999974325529558,40
QUANT,7,4.289285360640793,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,4.515151515151516,0.0009999974325529558,60
QUANT,7,4.3588692299075,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,6.333333333333333,0.0009999977271780264,80
QUANT,7,4.398221875270994,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,8.151515151515152,0.0009999977271780264,100
QUANT,7,4.34026478848862,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,9.969696969696969,0.0009999977271780264,120
QUANT,7,4.350385572831612,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,11.787878787878787,0.0009999977271780264,140
QUANT,7,4.30749840148732,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,13.606060606060606,0.000999998021803097,160
QUANT,7,4.3408508959446825,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,15.424242424242424,0.000999998021803097,180
QUANT,7,4.351412750983423,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,17.242424242424242,0.000999998021803097,200
QUANT,7,4.297492851830605,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,19.060606060606062,0.000999998021803097,220
QUANT,7,4.283116331315118,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,20.87878787878788,0.000999998021803097,240
QUANT,7,4.338703159809077,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,22.696969696969695,0.000999998021803097,260
QUANT,7,4.2965709743403915,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,24.515151515151516,0.000999998021803097,280
