model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
RandomForest,7,0.1456645906734957,0.8965512926110364,0.88,0.7931034482758621,0.9999991369462108,0.834295136026381,0.31068122034174894,0.621362440711667,3.1379310344827585,0.0009999958286081533,4,FARSEEING,tabular
ExtraTrees,7,0.6327318074910818,0.8103445399016105,0.9,0.6206896551724138,0.9999994246308072,0.7346938775510204,0.20712081357448786,1.1391644746380563,6.9655172413793105,0.0009999935271505825,4,FARSEEING,tabular
Ensemble,7,0.6327318074910818,0.8749997023660707,0.91,0.75,0.9999994047321413,0.8222891566265059,0.2071208135847463,0.7249228474969449,4.25,0.0009999954859230245,4,FARSEEING,tabular
Rocket,7,8.86969526172019,0.8636345958712077,0.63,0.7272727272727273,0.9999964644696882,0.6751507032819826,1.272716666747784,0.8181750000568178,4.878787878787879,0.0009999917084087258,0,FARSEEING,ts
Catch22,7,20.628584379843915,0.8636339645265092,0.56,0.7272727272727273,0.999995201780291,0.632768361581921,1.7272583334662586,0.8181750000568178,4.795151515151516,0.0009999902352833725,0,FARSEEING,ts
QUANT,7,4.483231298059292,0.9393935605871202,0.91,0.8787878787878788,0.9999992423863617,0.8941216330679316,0.27272500002309163,0.36363333335858566,1.6003030303030303,0.0009999972641957723,0,FARSEEING,ts
Ensemble,7,4.483231298059292,0.8939383837878763,0.76,0.7878787878787878,0.9999979796969647,0.7736883320281911,0.7272666667016006,0.636358333377525,4.03030303030303,0.0009999944021236574,0,FARSEEING,ts
Rocket,7,9.156879967971092,0.9186028099854605,0.65,0.8372093023255814,0.9999963176453396,0.7318217357310399,1.325570348946657,0.4883680232897283,-0.8327906976744188,0.000999993216771629,1,FARSEEING,ts
Catch22,7,19.180650612752462,0.9069761627616264,0.85,0.813953488372093,0.9999988371511599,0.8315863032844165,0.4186011628168463,0.5581348837596896,2.9811627906976743,0.0009999958008586275,1,FARSEEING,ts
QUANT,7,4.229711014640674,0.9534879844767432,0.91,0.9069767441860465,0.99999922476744,0.908485856905158,0.27906744186457566,0.279067441879845,0.8341860465116279,0.0009999976743217014,1,FARSEEING,ts
Ensemble,7,4.229711014640674,0.9302322674273249,0.92,0.8604651162790697,0.99999941857558,0.8892371995820272,0.20930058140842314,0.4186011628197673,1.7951162790697675,0.0009999971898053892,1,FARSEEING,ts
Rocket,7,8.610576161992473,0.9411762229161056,0.94,0.8823529411764706,0.9999995046557407,0.9102646868947708,0.17831342248262716,0.35662684498669345,0.4117647058823529,0.0009999976058562407,2,FARSEEING,ts
