model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold
ExtraTrees,0.0,5,0.13684211712922142,4.6,0.6470588235294118,0.7333333333333333,0.9999966665555519,0.6875,0.8666649999444426,1.1999900000833328,0.7999933333888885,0.000999992036837958,4
Rocket,0.0,5,5.818703958564425,-2.1286666666666667,0.4482758620689655,0.8666666666666667,0.999991110814805,0.5909090909090909,0.9333288887407358,3.199973333555554,0.3999966666944442,0.0009999875922823995,4
Catch22,0.0,5,7.614439320683544,0.738,0.7058823529411765,0.8,0.9999972221296265,0.75,0.8999986110648133,0.9999916667361106,0.5999950000416664,0.0009999937035462924,4
QUANT,0.0,5,3.0216808971134683,1.6046666666666667,0.7647058823529411,0.8666666666666667,0.9999977777037012,0.8125,0.933332222185184,0.7999933333888885,0.3999966666944442,0.0009999953702546267,4
Ensemble-All,,5,0.0027951678882042565,1.738,0.7647058823529411,0.8666666666666667,0.9999977777037012,0.8125,0.933332222185184,0.7999933333888885,0.3999966666944442,0.0009999953702546267,4
Ensemble-tabular,,5,0.004547522092858951,4.6,0.7333333333333333,0.7333333333333333,0.9999977777037012,0.7333333333333333,0.8666655555185172,0.7999933333888885,0.7999933333888885,0.0009999933331666625,4
Ensemble-ts,,5,0.0059599994371334715,-1.3286666666666667,0.6666666666666666,0.9333333333333333,0.9999961109814771,0.7777777777777778,0.9666647221574052,1.399988333430555,0.1999983333472221,0.0009999944443055521,4
LogisticCV,0.0,5,0.09648418012265876,7.054054054054054,0.71875,0.6216216216216216,0.9999979619819047,0.6666666666666666,0.8108097918017632,0.7336557795771969,1.1412423237867508,0.0009999918102551607,5
RandomForest,0.0,5,0.13062628531319262,5.468108108108108,0.6097560975609756,0.6756756756756757,0.9999963768567194,0.6410256410256411,0.8378360262661975,1.3042769414705722,0.9782077061029292,0.0009999907912546506,5
ExtraTrees,0.0,5,0.1335193601564549,5.054054054054054,0.7878787878787878,0.7027027027027027,0.9999984148748148,0.7428571428571429,0.8513505587887588,0.5706211618933754,0.8966903972610184,0.000999993584070863,5
Rocket,0.0,5,5.961576592859588,0.5016216216216217,0.40789473684210525,0.8378378378378378,0.9999898099095234,0.5486725663716814,0.9189138238736806,3.6682788978859846,0.4891038530514646,0.0009999856207705817,5
Catch22,0.0,5,11.307452982858361,3.4475675675675674,0.49122807017543857,0.7567567567567568,0.999993433052804,0.5957446808510638,0.8783750949047804,2.364001956415412,0.7336557795771969,0.0009999886022905924,5
QUANT,0.0,5,3.062577989174785,3.5083783783783784,0.8529411764705882,0.7837837837837838,0.9999988677677248,0.8169014084507042,0.8918913257757544,0.4075865442095538,0.6521384707352861,0.0009999953578865657,5
Ensemble-All,,5,0.006539524843295415,3.522162162162162,0.725,0.7837837837837838,0.9999975090889945,0.7532467532467533,0.8918906464363892,0.8966903972610184,0.6521384707352861,0.0009999937727746613,5
Ensemble-tabular,,5,0.00980755469451348,6.27027027027027,0.75,0.6486486486486487,0.9999981884283597,0.6956521739130435,0.8243234185385042,0.6521384707352861,1.05972501494484,0.0009999924895888342,5
Ensemble-ts,,5,0.015880891121923923,1.5608108108108107,0.5,0.8108108108108109,0.9999932066063488,0.6185567010309279,0.9054020087085799,2.445519265257323,0.5706211618933754,0.000999989168401987,5
LogisticCV,0.0,7,0.2853439314778781,0.5454545454545454,0.7916666666666666,0.8636363636363636,0.9999981059659043,0.8260869565217391,0.931817234801134,0.6818125000473482,0.4090875000284089,0.0009999957068918275,1
RandomForest,0.0,7,0.338682328949712,0.045454545454545456,0.7142857142857143,0.9090909090909091,0.9999969695454469,0.8,0.954543939318178,1.090900000075757,0.27272500001893923,0.0009999950755523903,1
ExtraTrees,0.0,7,0.3393863803715092,-0.045454545454545456,0.9130434782608695,0.9545454545454546,0.9999992423863617,0.9333333333333333,0.9772723484659082,0.27272500001893923,0.13636250000946962,0.0009999984216514071,1
Rocket,0.0,7,8.256335434518416,-1.2272727272727273,0.3225806451612903,0.9090909090909091,0.9999840901135966,0.47619047619047616,0.9545374996022529,5.727225000397724,0.27272500001893923,0.000999980049673787,1
Catch22,0.0,7,13.577651266479641,1.1363636363636365,0.6333333333333333,0.8636363636363636,0.9999958331249896,0.7307692307692307,0.9318160983806767,1.4999875001041658,0.4090875000284089,0.0009999930552661916,1
QUANT,0.0,7,4.57495576029335,-0.18181818181818182,0.75,0.9545454545454546,0.9999973483522661,0.84,0.9772714014488604,0.9545375000662873,0.13636250000946962,0.0009999962119633774,1
Ensemble-All,,7,0.004294013604521751,0.9545454545454546,0.8,0.9090909090909091,0.9999981059659043,0.851063829787234,0.9545445075284067,0.6818125000473482,0.27272500001893923,0.0009999964013652084,1
