model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,Dataset,model_type
Ensemble,14.0 ± 0.0,1.13 ± 1.26,0.88 ± 0.03,0.97 ± 0.03,0.76 ± 0.07,1.0 ± 0.0,0.85 ± 0.04,0.08 ± 0.08,0.68 ± 0.18,FARSEEING,tabular
ExtraTrees,14.0 ± 0.0,1.13 ± 1.26,0.87 ± 0.06,0.94 ± 0.02,0.74 ± 0.13,1.0 ± 0.0,0.82 ± 0.09,0.14 ± 0.05,0.78 ± 0.38,FARSEEING,tabular
LogisticCV,14.0 ± 0.0,0.17 ± 0.01,0.83 ± 0.05,0.97 ± 0.04,0.65 ± 0.1,1.0 ± 0.0,0.78 ± 0.07,0.07 ± 0.08,1.05 ± 0.31,FARSEEING,tabular
RandomForest,14.0 ± 0.0,0.22 ± 0.01,0.92 ± 0.05,0.94 ± 0.03,0.83 ± 0.1,1.0 ± 0.0,0.88 ± 0.06,0.16 ± 0.08,0.51 ± 0.3,FARSEEING,tabular
Catch22,14.0 ± 0.0,30.9 ± 12.73,0.88 ± 0.05,0.84 ± 0.1,0.75 ± 0.1,1.0 ± 0.0,0.79 ± 0.05,0.47 ± 0.33,0.75 ± 0.29,FARSEEING,ts
Ensemble,14.0 ± 0.0,10.54 ± 10.21,0.93 ± 0.02,0.9 ± 0.1,0.86 ± 0.05,1.0 ± 0.0,0.88 ± 0.07,0.31 ± 0.33,0.39 ± 0.14,FARSEEING,ts
QUANT,14.0 ± 0.0,10.54 ± 10.21,0.9 ± 0.04,0.93 ± 0.06,0.81 ± 0.09,1.0 ± 0.0,0.86 ± 0.05,0.18 ± 0.16,0.58 ± 0.26,FARSEEING,ts
Rocket,14.0 ± 0.0,16.05 ± 0.27,0.94 ± 0.0,0.82 ± 0.11,0.88 ± 0.01,1.0 ± 0.0,0.85 ± 0.06,0.62 ± 0.45,0.35 ± 0.03,FARSEEING,ts
