model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh
Catch22,0,10,38.5167226327048,-4.106666666666667,0.5806451612903226,0.8571428571428571,0.9999948143042232,0.6923076923076923,0.9285688357235402,1.866694108665529,0.430775563538199,2.321208391931686,0.5
QUANT,0,10,4.878025135601961,-1.5828571428571425,0.8636363636363636,0.9047619047619048,0.9999988033009746,0.8837209302325582,0.9523803540314397,0.430775563538199,0.287183709025466,2.321226394748724,0.5
DummyADL,0,10,0.04739845777227506,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.015428944767393,2.321151265832348,0.5
DummyFall,0,10,0.00030754227714552057,0.0,8.376278379628891e-05,1.0,0.0,0.00016751153635997433,0.5,35996.611232233496,0.0,-0.13712179198875274,0.5
Catch22,1,10,36.01942691451435,-4.106666666666667,0.6,0.8571428571428571,0.9999952132038984,0.7058823529411765,0.9285690351733777,1.723102254152796,0.430775563538199,2.3212097749607397,0.5
QUANT,1,10,4.916259289010442,-1.3447619047619046,0.8260869565217391,0.9047619047619048,0.9999984044012995,0.8636363636363636,0.9523801545816022,0.574367418050932,0.287183709025466,2.32122501171967,0.5
Catch22,2,10,36.95064279581978,-5.106666666666667,0.59375,0.9047619047619048,0.9999948143042232,0.7169811320754716,0.9523783595330639,1.866694108665529,0.287183709025466,2.321212564458188,0.5
QUANT,2,10,4.893833106273057,-1.535238095238095,0.8260869565217391,0.9047619047619048,0.9999984044012995,0.8636363636363636,0.9523801545816022,0.574367418050932,0.287183709025466,2.32122501171967,0.5
RandomForest,0,60,0.581174753560308,-0.7733333333333331,0.85,0.8095238095238095,0.9999988027995336,0.8292682926829268,0.9047613061616715,0.430775563538199,0.574367418050932,2.320245827487184,0.5
ExtraTrees,0,60,0.547923029590125,3.9980952380952384,0.9411764705882353,0.7619047619047619,0.9999996009331779,0.8421052631578947,0.8809521814189698,0.143591854512733,0.717959272563665,2.3202444210598463,0.5
Rocket,0,60,43.786436741127964,-49.29714285714286,0.4523809523809524,0.9047619047619048,0.9999908214630907,0.6031746031746031,0.9523763631124977,3.302612653792859,0.287183709025466,2.320226511658026,0.5
DummyADL,0,60,0.08214002555760798,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.015428944767393,2.320179043897529,0.5
DummyFall,0,60,0.00037394589700626764,0.0,0.0005025847214244687,1.0,0.0,0.001004664513814137,0.5,5996.826620015268,0.0,-0.026948753219905898,0.5
RandomForest,1,60,0.5872762811995508,-0.20190476190476167,0.85,0.8095238095238095,0.9999988027995336,0.8292682926829268,0.9047613061616715,0.430775563538199,0.574367418050932,2.320245827487184,0.5
ExtraTrees,1,60,0.5737483694270435,3.9980952380952384,0.8888888888888888,0.7619047619047619,0.9999992018663557,0.8205128205128205,0.8809519818855588,0.287183709025466,0.717959272563665,2.3202430380171073,0.5
