model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fn_factor
QUANT,0,10,4.676543738610533,-1.5828571428571425,0.8636363636363636,0.9047619047619048,0.9998793242156074,0.8837209302325582,0.9523206144887562,0.430775563538199,0.287183709025466,-1.9444444444444445e-05,0.5,2
QUANT,0,10,4.562844824137583,-3.63047619047619,0.84,1.0,0.9998390989541432,0.9130434782608695,0.9999195494770716,0.574367418050932,0.0,-1.1111111111111112e-05,0.4040404040404041,2
