model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g
QUANT,3,2.4247762158541257,0.9545453282807239,0.97,0.9090909090909091,0.9999997474705387,0.9385582970488631,0.09090833333691521,0.27272500001893935,24.545454545454547,0.0009999983164842873
QUANT,4,3.0378128260165704,0.9393936868623736,0.94,0.8787878787878788,0.9999994949368683,0.9083638787070976,0.18181666668712468,0.36363333335858566,33.06060606060606,0.0009999975588818736
QUANT,5,3.2045752983033817,0.9545453282786194,0.97,0.9090909090909091,0.9999997474663297,0.9385582970488631,0.09090833333758266,0.27272500001893935,28.848484848484848,0.000999998316456228
QUANT,6,3.9515702444575576,0.9545452020096796,0.94,0.9090909090909091,0.9999994949284503,0.9242871189773844,0.18181666667791846,0.27272500001893935,24.515151515151516,0.0009999980218195826
QUANT,7,4.316260211254221,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,24.515151515151516,0.000999998021803097
QUANT,8,4.820461633838192,0.9545452020054705,0.94,0.9090909090909091,0.9999994949200319,0.9242871189773844,0.18181666668759264,0.27272500001893935,28.818181818181817,0.0009999980217866111
QUANT,9,4.546634217170708,0.9545452020033658,0.94,0.9090909090909091,0.9999994949158226,0.9242871189773844,0.18181666669451238,0.27272500001893935,28.818181818181817,0.0009999980217701252
QUANT,10,4.831927485122724,0.9696968434248731,0.97,0.9393939393939394,0.9999997474558067,0.9544516743374067,0.09090833333808826,0.18181666667929267,19.03030303030303,0.0009999987793799048
QUANT,11,5.344109903133823,0.9696968434238207,0.97,0.9393939393939394,0.9999997474537019,0.9544516743374067,0.0909083333562569,0.18181666667929267,29.060606060606062,0.0009999987793697324
QUANT,12,5.690930546337855,0.9696968434227684,0.97,0.9393939393939394,0.9999997474515973,0.9544516743374067,0.09090833332183307,0.18181666667929267,19.03030303030303,0.0009999987793595595
