model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fn_factor
CostCVStacking,0,10,16.612403827018372,-0.29714285714285704,0.9473684210526315,0.8571428571428571,0.9999597747385358,0.9,0.9285513159406964,0.143591854512733,0.430775563538199,-1.9444444444444445e-05,0.5,2
CostCVDirichlet,0,10,17.440767847752927,-0.29714285714285704,0.9473684210526315,0.8571428571428571,0.9999597747385358,0.9,0.9285513159406964,0.143591854512733,0.430775563538199,-1.9444444444444445e-05,0.5,2
