thresholds,scores
0.0,-217.8
0.010101010101010102,-65.4524211184005
0.020202020202020204,-48.00306154326773
0.030303030303030304,-38.17238363011559
0.04040404040404041,-31.243965427470577
0.05050505050505051,-28.077538269290848
0.06060606060606061,-24.61518275538894
0.07070707070707072,-21.698385921066333
0.08080808080808081,-20.521253774862018
0.09090909090909091,-18.34432989690722
0.10101010101010102,-17.235884619389772
0.11111111111111112,-15.265292096219929
0.12121212121212122,-14.8
0.13131313131313133,-14.508299489742788
0.14141414141414144,-12.856565656565659
0.15151515151515152,-12.76969696969697
0.16161616161616163,-12.367676767676766
0.17171717171717174,-11.365656565656565
0.18181818181818182,-10.6
0.19191919191919193,-10.044090388420283
0.20202020202020204,-9.75959595959596
0.21212121212121213,-9.4
0.22222222222222224,-9.2
0.23232323232323235,-8.553535353535354
0.24242424242424243,-8.0
0.25252525252525254,-8.0
0.26262626262626265,-7.6
0.27272727272727276,-7.50909090909091
0.2828282828282829,-8.2
0.29292929292929293,-8.6
0.30303030303030304,-8.6
0.31313131313131315,-8.2
0.32323232323232326,-7.602061855670103
0.33333333333333337,-7.4
0.3434343434343435,-7.331313131313131
0.3535353535353536,-7.2
0.36363636363636365,-7.245360824742271
0.37373737373737376,-7.6
0.38383838383838387,-7.6
0.393939393939394,-7.4
0.4040404040404041,-7.0
0.4141414141414142,-7.072873060501934
0.42424242424242425,-7.4
0.43434343434343436,-7.4
0.4444444444444445,-7.8
0.4545454545454546,-7.5216494845360815
0.4646464646464647,-7.4
0.4747474747474748,-7.4
0.48484848484848486,-7.793939393939395
0.494949494949495,-8.606185567010312
0.5050505050505051,-9.018556701030931
0.5151515151515152,-9.6
0.5252525252525253,-9.4
0.5353535353535354,-9.4
0.5454545454545455,-9.4
0.5555555555555556,-9.4
0.5656565656565657,-9.4
0.5757575757575758,-9.284848484848485
0.5858585858585859,-9.6
0.595959595959596,-9.6
0.6060606060606061,-9.942268041237117
0.6161616161616162,-10.2
0.6262626262626263,-10.567010309278356
0.6363636363636365,-10.6
0.6464646464646465,-10.85858585858586
0.6565656565656566,-11.262626262626261
0.6666666666666667,-11.666666666666668
0.6767676767676768,-12.0
0.686868686868687,-12.074747474747477
0.696969696969697,-12.2
0.7070707070707072,-12.282828282828287
0.7171717171717172,-12.478350515463925
0.7272727272727273,-12.890721649484542
0.7373737373737375,-13.598042278454662
0.7474747474747475,-14.0
0.7575757575757577,-14.527835051546399
0.7676767676767677,-14.8
0.7777777777777778,-14.8
0.787878787878788,-15.2
0.797979797979798,-15.2
0.8080808080808082,-15.523232323232326
0.8181818181818182,-17.00206185567011
0.8282828282828284,-17.6
0.8383838383838385,-17.826804123711348
0.8484848484848485,-19.439175257731968
0.8585858585858587,-20.0
0.8686868686868687,-21.94747474747475
0.8787878787878789,-23.951515151515157
0.888888888888889,-24.844215349369996
0.8989898989898991,-26.06062688743102
0.9090909090909092,-26.92727272727273
0.9191919191919192,-29.028803498906598
0.9292929292929294,-29.87628865979383
0.9393939393939394,-31.526273039675107
0.9494949494949496,-33.96288659793815
0.9595959595959597,-34.8
0.9696969696969697,-37.963136519837555
0.9797979797979799,-40.8
0.98989898989899,-43.5959595959596
1.0,-45.6
